,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
21289153,0,,1,10.0,3.0,6611.0,43.0,3.0,1.0,15.0,,1.0,,3.0,68fd1e64,f0cf0024,74e1a23a,9a6888fb,25c83c98,fbad5c96,709df051,0b153874,a73ee510,991fc4a4,4a31f431,fb8fab62,740c210d,07d13a8f,dd21eb00,c6b1e1b2,07c540c4,b04e4670,21ddcdc9,5840adea,99c09e97,,32c7478e,335a6a1e,ea9a246c,d15c0cc8
19715007,0,,65,5.0,,18138.0,,0.0,1.0,6.0,,0.0,,,05db9164,38a947a1,6a57a316,541890f7,25c83c98,fbad5c96,e20d7e95,37e4aa92,a73ee510,3b08e48b,cdc9ed16,d4f6b821,5394a112,07d13a8f,18517138,2bf831e4,776ce399,e8623312,,,94bd55e6,,32c7478e,f61e8281,,
4555706,0,,14,,2.0,1514.0,2.0,6.0,1.0,64.0,,4.0,,2.0,05db9164,b0660259,aad98c5d,415e1074,25c83c98,7e0ccccf,b892a709,1f89b562,a73ee510,6b1e4999,5f2b6964,bea8f058,7a36be10,07d13a8f,20190443,17b82863,e5ba7672,915a99b2,,,cdfd7dce,ad3062eb,423fab69,cedad179,,
39950739,0,,85,3.0,3.0,4309.0,25.0,1.0,9.0,30.0,,1.0,,3.0,05db9164,421b43cd,b8166134,44a106d6,25c83c98,fbad5c96,a6a575e6,062b5529,a73ee510,0741dc88,4829f487,e1904301,2180053c,07d13a8f,8ae3cee1,29bb41f1,d4bb7bd8,2804effd,,,eaf99d6a,,32c7478e,d9556584,,
42449369,0,,5,8.0,5.0,10463.0,93.0,10.0,5.0,122.0,,2.0,,5.0,8cf07265,421b43cd,e32777b6,29998ed1,25c83c98,fe6b92e5,ad82323c,0b153874,a73ee510,bdfd8a02,7ca25fd2,6aaba33c,d3802338,b28479f6,2d0bb053,b041b04a,e5ba7672,2804effd,,,723b4dfd,,32c7478e,b34f3128,,
38339616,0,,1,,0.0,37.0,,0.0,5.0,20.0,,0.0,,0.0,68fd1e64,0468d672,003f419b,ff852091,25c83c98,7e0ccccf,ce4f7f55,0b153874,a73ee510,479d08d5,38f692a7,349450bc,6e5da64f,07d13a8f,7da7b9b2,6615ffe6,1e88c74f,124c6b00,21ddcdc9,5840adea,3dd38d65,ad3062eb,32c7478e,c2fe6ca4,010f6491,c3546e32
4646448,0,,-1,13.0,1.0,1118010.0,,,1.0,,,,,1.0,05db9164,80e26c9b,0bd844ef,aae30d38,25c83c98,13718bbd,95e45eef,0b153874,7cc72ec2,a866ff7f,61593534,38a37d81,9259d03d,07d13a8f,856b2bc1,00c7a1bf,07c540c4,fdf644e0,21ddcdc9,b1252a9d,45d05ca3,,3a171ecb,3e1eed85,e8b83407,6a4b2388
18989585,0,,1,1.0,,13188.0,22.0,3.0,0.0,22.0,,1.0,,,68fd1e64,d7988e72,e20801f0,d38d65c3,25c83c98,,ed54b715,0b153874,a73ee510,e2432229,da28c392,5ce00256,7165d9e8,07d13a8f,194c42a4,808dc93f,07c540c4,0f2f9850,64d8d024,b1252a9d,d94ba06a,,32c7478e,74bc475d,445bbe3b,45b1afb0
42239103,1,3.0,0,11.0,3.0,76.0,3.0,3.0,5.0,5.0,1.0,1.0,,3.0,05db9164,86d4fccc,92bf6e8c,a754f0ee,4cf72387,fbad5c96,7a6960b8,0b153874,a73ee510,92e70d0f,e90cbbe1,4666c285,a4c7bffd,07d13a8f,e87e1df4,1174f1ac,e5ba7672,e727949e,21ddcdc9,5840adea,b56c0502,,3a171ecb,3b183c5c,001f3601,afd260f5
20600215,0,0.0,4,8.0,7.0,8186.0,145.0,2.0,12.0,77.0,0.0,1.0,,11.0,05db9164,39dfaa0d,28b01491,a5eb7409,a4b109b5,fbad5c96,2d99b1f3,5b392875,a73ee510,3b08e48b,d2b7c44b,b5415aed,68637c0d,cfef1c29,e92521f5,8a0391dd,d4bb7bd8,df4fffb7,21ddcdc9,5840adea,a39b8526,,3a171ecb,53760c62,010f6491,c986348f
31924954,1,,51,,,9122.0,,,10.0,,,,,,68fd1e64,e112a9de,2a7fa4bc,22504558,0942e0a7,fbad5c96,0652c8ca,5b392875,a73ee510,3325ba1f,925f62dd,252162ec,b0562e4a,1adce6ef,11da3cff,776f5665,e5ba7672,a7cf409e,,,5c7c443c,78e2e389,dbb486d7,8f079aa5,,
7561548,0,0.0,20,1.0,1.0,5447.0,34.0,8.0,6.0,25.0,0.0,2.0,,1.0,68fd1e64,e112a9de,5c7adc62,22504558,25c83c98,fe6b92e5,ce4f7f55,0b153874,a73ee510,479d08d5,38f692a7,23bc90a1,6e5da64f,1adce6ef,6da7d68c,776f5665,07c540c4,d495a339,,,5a5953a2,c9d4222a,423fab69,8f079aa5,,
27919940,0,,0,,1.0,0.0,,0.0,1.0,1.0,,0.0,,1.0,5a9ed9b0,d833535f,77f2f2e5,d16679b9,25c83c98,7e0ccccf,9b98e9fc,0b153874,a73ee510,b883655e,7f8ffe57,9f32b866,46f42a63,07d13a8f,2e7bc615,31ca40b6,1e88c74f,7b49e3d2,,,dfcfc3fa,,32c7478e,aee52b6f,,
33635205,0,,0,4.0,,7043.0,110.0,0.0,0.0,29.0,,0.0,,,5a9ed9b0,1cfdf714,be6c1c7f,c6733673,25c83c98,7e0ccccf,78dcd87f,0b153874,a73ee510,24bec87b,8aa7f20a,a55ca42c,706a14b0,1adce6ef,f3002fbd,18e38b43,e5ba7672,e88ffc9d,21ddcdc9,a458ea53,7f4a89ca,,bcdee96c,ba74091a,cb079c2d,99d33931
22985517,0,,23,28.0,1.0,168163.0,,0.0,1.0,1.0,,0.0,,1.0,05db9164,4c2bc594,d032c263,c18be181,25c83c98,fbad5c96,b2a27ca4,5b392875,7cc72ec2,2106e595,b5bb9d63,dfbb09fb,ab04d8fe,1adce6ef,ae0c3875,84898b2a,e5ba7672,15a36060,,,0014c32a,ad3062eb,32c7478e,3b183c5c,,
35318649,1,1.0,1,1.0,1.0,1.0,0.0,3.0,15.0,56.0,1.0,3.0,3.0,0.0,f473b8dc,38a947a1,47c40151,96606633,4cf72387,7e0ccccf,29ed3d08,0b153874,a73ee510,dec405d0,d74aabe6,e1a883d2,0fb78b80,07d13a8f,45f80c6f,ed5f7ac0,8efede7f,7abb2837,,,947cce72,,423fab69,375c3609,,
30171903,0,3.0,0,9.0,11.0,17.0,10.0,7.0,13.0,58.0,1.0,2.0,,10.0,f473b8dc,287130e0,35e8c904,38c6a2ff,25c83c98,fe6b92e5,6aa33a0e,0b153874,a73ee510,50b4ee3a,76030d37,ca9f3db8,b8065f15,b28479f6,9efd8b77,d8daf836,e5ba7672,891589e7,21ddcdc9,5840adea,0bf4a9b7,,32c7478e,3fdb382b,ea9a246c,49d68486
12179113,0,,1,,,430561.0,,,0.0,,,,,,05db9164,68aede49,b0af5fa0,2c3cb82a,25c83c98,fbad5c96,22b00980,0b153874,7cc72ec2,567ba666,fb7a7aa9,6e62a49e,138498c6,b28479f6,5c595008,5f32239f,e5ba7672,262c8681,,,dc2b73fd,ad3062eb,32c7478e,abf08f1b,,
36923932,0,,1,12.0,1.0,576236.0,,0.0,0.0,35.0,,0.0,,1.0,05db9164,e77e5e6e,eea55f5e,ad4b056e,25c83c98,7e0ccccf,c3d4a686,5b392875,7cc72ec2,b824973f,8b92652b,f90f8225,c5bc951e,b28479f6,571f6c76,3201bfdb,e5ba7672,449d6705,1a7bd53d,b1252a9d,9fb4a18a,,c7dc6720,89064851,001f3601,99fe62d7
36640619,0,,0,17.0,25.0,7073.0,,0.0,23.0,28.0,,0.0,,28.0,05db9164,59ab477c,e159e1de,7967fcf5,25c83c98,7e0ccccf,7c7f8ebd,0b153874,a73ee510,4b4670a5,d7129972,8a48eb95,c0c5f46b,07d13a8f,9c25c3f3,91a6eec5,e5ba7672,74fc71da,21ddcdc9,5840adea,a97b62ca,,32c7478e,727a7cc7,47907db5,6935065e
34217997,0,0.0,1,8.0,8.0,18178.0,421.0,2.0,8.0,239.0,0.0,1.0,0.0,8.0,05db9164,f6f4fe4b,b1cf35d7,50424ad0,384874ce,fbad5c96,f828f7fb,c8ddd494,a73ee510,70962768,ab066900,9dac4f87,5d4198ed,07d13a8f,ef6fe5a5,5bebe893,3486227d,0a20b09c,,,58224156,ad3062eb,3a171ecb,060198aa,,
5522385,1,6.0,0,8.0,2.0,5.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,68fd1e64,92f101be,6de5c512,43346490,25c83c98,7e0ccccf,ba16eb32,6c41e35e,a73ee510,7c0a503a,9700edac,f38b9685,672d927b,07d13a8f,bd50245a,4f07bb6c,3486227d,0a6e5453,21ddcdc9,5840adea,dbfd7937,,32c7478e,79869a4f,001f3601,074bb89f
3643731,0,0.0,1,15.0,14.0,4746.0,29.0,13.0,13.0,48.0,0.0,1.0,2.0,14.0,05db9164,8947f767,5ba1243a,0141e69f,4cf72387,7e0ccccf,d20b4953,0b153874,a73ee510,5ba575e7,46febd4d,d76678f6,949ea585,b28479f6,a473257f,78fa0927,27c07bd6,bd17c3da,f6a3e43b,b1252a9d,1dc0b39c,,32c7478e,3fdb382b,010f6491,49d68486
39139683,0,2.0,230,5.0,5.0,24.0,5.0,2.0,5.0,5.0,1.0,1.0,,5.0,39af2607,207b2d81,d6be853a,4842a03d,25c83c98,,bc7822a2,0b153874,a73ee510,ac473633,703083f2,dadde5ca,0464ad73,b28479f6,3c767806,6077db2c,d4bb7bd8,395856b0,21ddcdc9,a458ea53,ae7b2d98,,3a171ecb,b8942a02,001f3601,eb8c8caf
27766983,1,,2,39.0,0.0,10.0,,0.0,7.0,58.0,,0.0,,0.0,68fd1e64,f0cf0024,5d3a12c5,ee36060f,43b19349,,c8897aa6,0b153874,a73ee510,3b08e48b,83f1ad4a,03afd96d,9b9e44d2,b28479f6,a2ccf91a,fab4dda8,776ce399,88b0e440,21ddcdc9,5840adea,f6e47def,78e2e389,be7c41b4,6c1cdd05,ea9a246c,7e6f9939
8229965,0,,0,1.0,2.0,2315.0,10.0,1.0,1.0,3.0,,1.0,,2.0,05db9164,38a947a1,af4d3d43,a8fbb191,384874ce,fbad5c96,3fbde16c,062b5529,a73ee510,83ff688a,087dfcfd,8147e011,5317f239,b28479f6,2da35278,34cdad74,d4bb7bd8,3d513ec7,,,8faba709,,3a171ecb,53575b1f,,
9218016,0,,4,31.0,2.0,,,,5.0,,,,,5.0,05db9164,80e26c9b,6eacece1,08125ec3,25c83c98,7e0ccccf,ce8217f8,1f89b562,7cc72ec2,3b08e48b,9d12ce9b,f88ba033,9dfda2b9,07d13a8f,f3635baf,c2b1bcd9,2005abd1,f54016b9,21ddcdc9,5840adea,a7d02174,,be7c41b4,d0cd5a75,e8b83407,d1d45fc5
1035797,0,4.0,0,,6.0,2.0,3.0,6.0,6.0,102.0,2.0,3.0,0.0,3.0,05db9164,287130e0,4f4c0d22,a1a46566,307e775a,fe6b92e5,f1eb9b03,37e4aa92,a73ee510,81271509,02ab57a9,0c4b9232,740c210d,cfef1c29,655fad18,c99d406d,e5ba7672,891589e7,6a3f73bd,5840adea,df7c6da1,,bcdee96c,a6050820,ea9a246c,b4a4615f
40382225,0,,9,1.0,7.0,1052.0,482.0,2.0,9.0,198.0,,2.0,,7.0,68fd1e64,207b2d81,905a7b53,0e5acd1d,25c83c98,7e0ccccf,4aa938fc,0b153874,a73ee510,efea433b,2b9c7071,bac9dcdb,1aa94af3,07d13a8f,1247bc49,301d75b3,3486227d,157482f0,21ddcdc9,b1252a9d,278a31a1,,32c7478e,5bceb83a,001f3601,fdd86175
29883941,1,7.0,-1,,,64.0,1.0,66.0,9.0,61.0,3.0,21.0,1.0,,68fd1e64,89ddfee8,b17297b9,41e34591,25c83c98,7e0ccccf,1c86e0eb,0017bc7c,a73ee510,597a7b20,755e4a50,f35fa7b3,5978055e,051219e6,d5223973,5d802133,e5ba7672,5bb2ec8e,b9bdd71a,a458ea53,d8ee82f2,,32c7478e,fced43fa,f0f449dd,d319f0b4
6337800,0,1.0,3,3.0,4.0,823.0,166.0,1.0,36.0,37.0,1.0,1.0,,6.0,05db9164,4c2bc594,d032c263,c18be181,30903e74,7e0ccccf,197b4575,0b153874,a73ee510,6c47047a,606866a9,dfbb09fb,e40e52ae,64c94865,00631f93,84898b2a,d4bb7bd8,5a5b8bf9,,,0014c32a,,3a171ecb,3b183c5c,,
21295894,0,1.0,8,10.0,10.0,1054.0,34.0,3.0,39.0,139.0,1.0,3.0,,10.0,8cf07265,421b43cd,30d5cb5e,29998ed1,25c83c98,7e0ccccf,dcaa1737,0b153874,a73ee510,6d316ce3,3290a168,6aaba33c,b1c8c31e,b28479f6,e1ac77f7,b041b04a,e5ba7672,2804effd,,,723b4dfd,c9d4222a,3a171ecb,b34f3128,,
44331896,0,,43,66.0,2.0,174306.0,301.0,0.0,2.0,7.0,,0.0,,2.0,05db9164,d97d4ce8,e59e7a64,95f6a680,384874ce,fe6b92e5,26fc9d19,5b392875,7cc72ec2,49c3320c,4be981e7,be9a3b26,d77a196a,8ceecbc8,8aceb51f,c19e0276,e5ba7672,fb342121,21ddcdc9,5840adea,ef1f887c,,32c7478e,6c1cdd05,ea9a246c,1219b447
36159566,0,0.0,21,4.0,,2472.0,,,2.0,,0.0,,,,05db9164,b06f9574,a05724fd,040c8aa9,25c83c98,7e0ccccf,5ce94b48,0b153874,a73ee510,efea433b,2a6cc1e3,140f4533,b029ebab,1adce6ef,b62ec7c9,7a71614f,e5ba7672,e9a3d86d,21ddcdc9,b1252a9d,e39a604e,c9d4222a,423fab69,ccdc9cf6,001f3601,ba46a667
38835620,0,,47,14.0,1.0,5760.0,,0.0,1.0,1.0,,0.0,,1.0,5a9ed9b0,24d41293,d032c263,c18be181,30903e74,7e0ccccf,95402f9a,37e4aa92,a73ee510,fbbf2c95,46febd4d,dfbb09fb,949ea585,07d13a8f,089dd1eb,84898b2a,e5ba7672,40aab586,,,0014c32a,c9d4222a,32c7478e,3b183c5c,,
4117862,0,0.0,1,89.0,3.0,3412.0,14.0,11.0,15.0,125.0,0.0,3.0,,9.0,5a9ed9b0,d7988e72,45704f34,f5b70db4,25c83c98,fbad5c96,e24d7cb8,5b392875,a73ee510,19b9435e,03458ded,20f97919,8019075f,b28479f6,c8389df7,5ee45c96,e5ba7672,0f2f9850,9151fd50,a458ea53,66b01667,ad3062eb,32c7478e,39548fe3,445bbe3b,401fb04a
28822594,0,,14,9.0,2.0,354268.0,,0.0,7.0,173.0,,0.0,,2.0,05db9164,ef69887a,e5b0dedc,4b09bd8d,25c83c98,7e0ccccf,00f47310,37e4aa92,7cc72ec2,4e703e1b,a4ea009a,e29f2fcf,1e9339bc,1adce6ef,9a0b5832,7eb9657f,e5ba7672,4bcc9449,97f9ffcc,a458ea53,79682ce0,,423fab69,e46634bf,e8b83407,8510538a
7400189,0,,3289,4.0,1.0,12353.0,19.0,5.0,11.0,19.0,,1.0,0.0,5.0,05db9164,d7988e72,d5566bb8,98034598,25c83c98,7e0ccccf,5b3f761b,0b153874,a73ee510,3b08e48b,16f58bb3,b1b84892,51071a07,b28479f6,c8389df7,338038b5,e5ba7672,0f2f9850,9bcb61cc,5840adea,42c4635e,,32c7478e,cef0214e,e8b83407,6eefd8e9
44582328,0,4.0,211,112.0,23.0,1.0,0.0,26.0,49.0,101.0,1.0,7.0,,0.0,5a9ed9b0,52e9ecfc,a9d15bf1,6bb5a9c4,25c83c98,6f6d9be8,1c86e0eb,0b153874,a73ee510,e7ba2569,755e4a50,f3dbd9b0,5978055e,b28479f6,37663ab0,4f02a842,e5ba7672,f3644223,21ddcdc9,b1252a9d,780bdc55,,32c7478e,2f647dfe,f0f449dd,52d71dab
10407376,0,6.0,5,18.0,13.0,1258.0,18.0,14.0,16.0,148.0,0.0,3.0,0.0,13.0,05db9164,421b43cd,ee5423b4,29998ed1,25c83c98,fe6b92e5,4aa938fc,0b153874,a73ee510,451bd4e4,7e40f08a,6aaba33c,1aa94af3,b28479f6,2d0bb053,b041b04a,3486227d,2804effd,,,723b4dfd,,3a171ecb,b34f3128,,
4331364,1,,-1,,,24575.0,287.0,23.0,2.0,157.0,,2.0,,,5a9ed9b0,421b43cd,a65907b7,29998ed1,25c83c98,7e0ccccf,dc7659bd,0b153874,a73ee510,299aecf1,e51ddf94,6aaba33c,3516f6e6,b28479f6,e1ac77f7,b041b04a,e5ba7672,2804effd,,,723b4dfd,,3a171ecb,b34f3128,,
3681624,0,,12,1.0,5.0,6851.0,110.0,14.0,16.0,168.0,,3.0,,5.0,05db9164,38a947a1,4fc78f3a,6a14f9b9,25c83c98,fbad5c96,5392de9d,1f89b562,a73ee510,0446ed7f,f89fe102,7ec097d5,83e6ca2e,07d13a8f,850780b9,f8b34416,e5ba7672,c9ac134a,,,f3ddd519,,423fab69,b34f3128,,
2772062,0,,0,37.0,4.0,,,0.0,18.0,4.0,,0.0,,4.0,05db9164,80e26c9b,6eacece1,08125ec3,25c83c98,fbad5c96,ce8217f8,0b153874,7cc72ec2,3b08e48b,9d12ce9b,f88ba033,9dfda2b9,07d13a8f,f3635baf,c2b1bcd9,2005abd1,f54016b9,21ddcdc9,5840adea,a7d02174,,be7c41b4,d0cd5a75,e8b83407,d1d45fc5
28700285,0,,62,14.0,12.0,25796.0,112.0,7.0,21.0,150.0,,2.0,,12.0,05db9164,f40dac87,07cc0197,2da547a4,4cf72387,fbad5c96,95f7bc50,5b392875,a73ee510,b7f7d54f,e7ce7f20,31dd4f9f,f522015f,1adce6ef,52dfd9c5,2b54d812,e5ba7672,ae288801,21ddcdc9,5840adea,1cad5662,,32c7478e,4fa16304,47907db5,2fede552
27049269,1,0.0,543,3.0,2.0,6635.0,129.0,1.0,3.0,11.0,0.0,1.0,,2.0,68fd1e64,38d50e09,948ee031,b7ab56a2,4cf72387,6f6d9be8,b3a5258d,062b5529,a73ee510,79041558,30b2a438,42bee2f2,aebdb575,b28479f6,06373944,67b3c631,27c07bd6,fffe2a63,21ddcdc9,b1252a9d,bd074856,,32c7478e,df487a73,001f3601,c27f155b
44472203,1,0.0,85,,5.0,1340.0,58.0,17.0,48.0,136.0,0.0,3.0,0.0,5.0,8cf07265,38a947a1,b7a01d06,79b0147e,25c83c98,7e0ccccf,bec653b4,0b153874,a73ee510,3b08e48b,9595e278,fe2ae07d,f8525b14,1adce6ef,ce39fa55,889df0bf,3486227d,474ecca0,,,df7c386a,,55dd3565,d57e7d03,,
11121620,1,7.0,0,17.0,3.0,43.0,8.0,7.0,3.0,3.0,1.0,1.0,0.0,3.0,05db9164,3e4b7926,7e30a921,994cbf66,25c83c98,fbad5c96,5a9203e4,6c41e35e,a73ee510,3b08e48b,859a5081,002292a8,c7794fdc,243a4e68,4b11a292,9ede1e6e,e5ba7672,e261f8d8,21ddcdc9,b1252a9d,5b49b860,c0061c6d,3a171ecb,903d77e8,e8b83407,c681cece
7024173,0,,96,7.0,1.0,7119.0,33.0,1.0,4.0,10.0,,1.0,,1.0,68fd1e64,2c16a946,ab198df6,dc2aae02,25c83c98,fe6b92e5,ac0c5c8e,0b153874,a73ee510,745d7f0d,7833fda9,6130bef8,952c94a3,b28479f6,3628a186,3f7cda8a,d4bb7bd8,e4ca448c,,,e029eb34,,3a171ecb,9117a34a,,
30217448,0,0.0,23,1.0,1.0,5863.0,99.0,1.0,9.0,45.0,0.0,1.0,,1.0,5a9ed9b0,f0cf0024,a9d15bf1,6bb5a9c4,25c83c98,fe6b92e5,866b37a4,966033bc,a73ee510,3b08e48b,4b613973,f3dbd9b0,f80ca945,b28479f6,e6c5b5cd,4f02a842,d4bb7bd8,b04e4670,21ddcdc9,b1252a9d,780bdc55,c9d4222a,32c7478e,2f647dfe,ea9a246c,58bc84e7
11365713,1,,46,6.0,5.0,2.0,344.0,0.0,5.0,133.0,,0.0,,5.0,05db9164,38a947a1,145f2f75,82a61820,25c83c98,7e0ccccf,1e3bdb1b,1f89b562,a73ee510,8a99abc1,4352b29b,7161e106,5f4de855,1adce6ef,3aa85cb3,bb6d240e,e5ba7672,e96a7df2,,,5fe17899,,bcdee96c,cafb4e4d,,
13124084,0,,3,6.0,3.0,42514.0,366.0,1.0,3.0,13.0,,0.0,,3.0,68fd1e64,421b43cd,c15c1e08,ba02f1aa,25c83c98,7e0ccccf,60be2adb,37e4aa92,a73ee510,db751eb8,25076b65,da286857,b0ff1de2,64c94865,89407d7d,1af9282c,07c540c4,2804effd,,,206e5f33,,c7dc6720,d9556584,,
32615542,0,,1,10.0,,5813.0,42.0,7.0,8.0,41.0,,2.0,,,75ac2fe6,287130e0,bc9edfff,ab93289a,384874ce,fe6b92e5,119e9988,0b153874,a73ee510,c007bb77,c95023e1,a5ae3013,e93e5897,b28479f6,75dceae2,fcf9596f,e5ba7672,616484f3,a2f0eba0,b1252a9d,1db4330e,,3a171ecb,38095635,ea9a246c,3cf5f387
35828762,1,1.0,0,1.0,0.0,1.0,0.0,449.0,14.0,150.0,1.0,24.0,0.0,0.0,9a89b36c,1cfdf714,bf80aff9,e7018a2d,25c83c98,7e0ccccf,7195046d,0b153874,a73ee510,4d0f5c58,4d8549da,5d74fd8b,51b97b8f,051219e6,af56328b,c409fee4,8efede7f,e88ffc9d,9653bb65,a458ea53,43354114,,dbb486d7,bc5b0a35,cb079c2d,434a7801
12155352,0,,0,14.0,2.0,116.0,,0.0,2.0,102.0,,0.0,,2.0,68fd1e64,09e68b86,aa8c1539,85dd697c,25c83c98,fbad5c96,124131fa,0b153874,a73ee510,a1ee64a6,9ba53fcc,d8c29807,42156eb4,1adce6ef,dcd06253,c64d548f,e5ba7672,63cdbb21,21ddcdc9,a458ea53,5f957280,,bcdee96c,1793a828,e8b83407,b7d9c3bc
29637335,0,,2244,3.0,0.0,20561.0,63.0,21.0,4.0,68.0,,4.0,0.0,2.0,be589b51,33728ce9,4b0ad917,4e353d3a,4cf72387,fe6b92e5,98f38419,0b153874,a73ee510,ddbf662a,b5c32cd1,ce2957ad,95db54bc,b28479f6,468d6259,5f704016,8efede7f,07070d63,21ddcdc9,5840adea,e5195a68,ad3062eb,32c7478e,9be5c7a4,2bf691b1,2fede552
22950893,0,14.0,-1,,,1452.0,3.0,81.0,3.0,133.0,0.0,7.0,1.0,,68fd1e64,1cfdf714,3cc84046,69dc1bd6,43b19349,,2555b4d9,0b153874,a73ee510,f9065d00,98579192,936a332f,779f824b,b28479f6,d345b1a0,affa8bde,3486227d,e88ffc9d,1d1eb838,a458ea53,17a800e7,,bcdee96c,3fdb382b,e8b83407,49d68486
27595684,1,1.0,20,3.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,,0.0,8cf07265,95e2d337,1f935e73,5dd29602,43b19349,fbad5c96,c151233f,0b153874,a73ee510,b883655e,f5521ed9,1a9616f1,7aab7990,07d13a8f,4e505ea3,a261ea42,d4bb7bd8,7b06fafe,a2eea4d0,a458ea53,93b08308,ad3062eb,32c7478e,4516edc3,2bf691b1,5382327d
25785433,0,68.0,14,10.0,10.0,15.0,10.0,68.0,10.0,10.0,1.0,1.0,0.0,10.0,05db9164,09e68b86,21352460,0ee3cec1,25c83c98,,ab21dc0b,0b153874,a73ee510,8ad16848,dbf405cd,3a523ca0,df132e22,f862f261,1dca7862,98b56746,e5ba7672,5aed7436,21ddcdc9,a458ea53,e5f42313,,32c7478e,3fdb382b,e8b83407,49d68486
